track,start_sec,end_sec,energy,section
Ben Klock - Arjuna.mp4,0.0,14.77,0.2436,build
Ben Klock - Arjuna.mp4,14.77,29.54,0.2396,build
Ben Klock - Arjuna.mp4,29.54,44.31,0.2578,build
Ben Klock - Arjuna.mp4,44.31,59.08,0.2558,build
Ben Klock - Arjuna.mp4,59.08,73.85,0.2567,build
Ben Klock - Arjuna.mp4,73.85,88.62,0.2292,intro
Ben Klock - Arjuna.mp4,88.62,103.38,0.2553,build
Ben Klock - Arjuna.mp4,103.38,118.15,0.2643,build
Ben Klock - Arjuna.mp4,118.15,132.92,0.2882,mid
Ben Klock - Arjuna.mp4,132.92,147.69,0.212,intro
Ben Klock - Arjuna.mp4,147.69,162.46,0.2917,mid
Ben Klock - Arjuna.mp4,162.46,177.23,0.2974,mid
Ben Klock - Arjuna.mp4,177.23,192.0,0.3054,peak
Ben Klock - Arjuna.mp4,192.0,206.77,0.3252,peak
Ben Klock - Arjuna.mp4,206.77,221.54,0.351,breakdown
Ben Klock - Arjuna.mp4,221.54,236.31,0.3531,breakdown
Ben Klock - Arjuna.mp4,236.31,251.08,0.3557,breakdown
Ben Klock - Arjuna.mp4,251.08,265.85,0.296,mid
Ben Klock - Arjuna.mp4,265.85,280.62,0.2888,mid
Ben Klock - Arjuna.mp4,280.62,295.38,0.3071,peak
Ben Klock - Arjuna.mp4,295.38,310.15,0.3493,breakdown
Ben Klock - Arjuna.mp4,310.15,324.92,0.3431,breakdown
Ben Klock - Arjuna.mp4,324.92,339.69,0.2576,build
Ben Klock - Arjuna.mp4,339.69,354.46,0.2393,build
Ben Klock - Arjuna.mp4,354.46,369.23,0.186,intro
Ben Klock - Arjuna.mp4,369.23,378.09,0.1921,intro
Ben Klock - Bear.mp4,0.0,14.77,0.3034,intro
Ben Klock - Bear.mp4,14.77,29.54,0.313,build
Ben Klock - Bear.mp4,29.54,44.31,0.3397,build
Ben Klock - Bear.mp4,44.31,59.08,0.3666,mid
Ben Klock - Bear.mp4,59.08,73.85,0.3745,peak
Ben Klock - Bear.mp4,73.85,88.62,0.3769,peak
Ben Klock - Bear.mp4,88.62,103.38,0.3784,peak
Ben Klock - Bear.mp4,103.38,118.15,0.3431,build
Ben Klock - Bear.mp4,118.15,132.92,0.3669,mid
Ben Klock - Bear.mp4,132.92,147.69,0.365,mid
Ben Klock - Bear.mp4,147.69,162.46,0.3414,build
Ben Klock - Bear.mp4,162.46,177.23,0.3607,mid
Ben Klock - Bear.mp4,177.23,192.0,0.3712,mid
Ben Klock - Bear.mp4,192.0,206.77,0.3084,intro
Ben Klock - Bear.mp4,206.77,221.54,0.315,build
Ben Klock - Bear.mp4,221.54,236.31,0.3719,mid
Ben Klock - Bear.mp4,236.31,251.08,0.3728,peak
Ben Klock - Bear.mp4,251.08,265.85,0.3696,mid
Ben Klock - Bear.mp4,265.85,280.62,0.3881,peak
Ben Klock - Bear.mp4,280.62,295.38,0.3744,peak
Ben Klock - Bear.mp4,295.38,310.15,0.347,build
Ben Klock - Bear.mp4,310.15,317.76,0.2849,intro
Ben Klock - Before One.mp4,0.0,14.77,0.1827,intro
Ben Klock - Before One.mp4,14.77,29.54,0.2519,build
Ben Klock - Before One.mp4,29.54,44.31,0.2486,build
Ben Klock - Before One.mp4,44.31,59.08,0.2561,build
Ben Klock - Before One.mp4,59.08,73.85,0.2686,mid
Ben Klock - Before One.mp4,73.85,88.62,0.2718,mid
Ben Klock - Before One.mp4,88.62,103.38,0.2794,mid
Ben Klock - Before One.mp4,103.38,118.15,0.2833,mid
Ben Klock - Before One.mp4,118.15,132.92,0.285,mid
Ben Klock - Before One.mp4,132.92,147.69,0.289,peak
Ben Klock - Before One.mp4,147.69,162.46,0.2935,peak
Ben Klock - Before One.mp4,162.46,177.23,0.3023,peak
Ben Klock - Before One.mp4,177.23,192.0,0.3021,peak
Ben Klock - Before One.mp4,192.0,206.77,0.2737,mid
Ben Klock - Before One.mp4,206.77,221.54,0.3013,peak
Ben Klock - Before One.mp4,221.54,236.31,0.2842,mid
Ben Klock - Before One.mp4,236.31,251.08,0.2759,mid
Ben Klock - Before One.mp4,251.08,265.85,0.2709,mid
Ben Klock - Before One.mp4,265.85,280.62,0.2718,mid
Ben Klock - Before One.mp4,280.62,295.38,0.285,mid
Ben Klock - Before One.mp4,295.38,310.15,0.2949,peak
Ben Klock - Before One.mp4,310.15,324.92,0.2799,mid
Ben Klock - Before One.mp4,324.92,339.69,0.2795,mid
Ben Klock - Before One.mp4,339.69,354.46,0.2695,mid
Ben Klock - Before One.mp4,354.46,369.23,0.2695,mid
Ben Klock - Before One.mp4,369.23,384.0,0.3006,peak
Ben Klock - Before One.mp4,384.0,398.77,0.2838,mid
Ben Klock - Before One.mp4,398.77,413.54,0.285,mid
Ben Klock - Before One.mp4,413.54,428.31,0.2489,build
Ben Klock - Before One.mp4,428.31,443.08,0.1925,intro
Ben Klock - Before One.mp4,443.08,444.34,0.2264,intro
Ben Klock - Captain Future.mp4,0.0,14.77,0.2521,intro
Ben Klock - Captain Future.mp4,14.77,29.54,0.2965,build
Ben Klock - Captain Future.mp4,29.54,44.31,0.3077,build
Ben Klock - Captain Future.mp4,44.31,59.08,0.3164,mid
Ben Klock - Captain Future.mp4,59.08,73.85,0.319,mid
Ben Klock - Captain Future.mp4,73.85,88.62,0.3398,peak
Ben Klock - Captain Future.mp4,88.62,103.38,0.338,peak
Ben Klock - Captain Future.mp4,103.38,118.15,0.3401,peak
Ben Klock - Captain Future.mp4,118.15,132.92,0.3209,mid
Ben Klock - Captain Future.mp4,132.92,147.69,0.3319,mid
Ben Klock - Captain Future.mp4,147.69,162.46,0.3447,peak
Ben Klock - Captain Future.mp4,162.46,177.23,0.3541,peak
Ben Klock - Captain Future.mp4,177.23,192.0,0.3375,peak
Ben Klock - Captain Future.mp4,192.0,206.77,0.2964,build
Ben Klock - Captain Future.mp4,206.77,221.54,0.3362,peak
Ben Klock - Captain Future.mp4,221.54,236.31,0.2967,build
Ben Klock - Captain Future.mp4,236.31,251.08,0.3145,mid
Ben Klock - Captain Future.mp4,251.08,265.85,0.3266,mid
Ben Klock - Captain Future.mp4,265.85,280.62,0.32,mid
Ben Klock - Captain Future.mp4,280.62,295.38,0.3093,build
Ben Klock - Captain Future.mp4,295.38,309.47,0.219,intro
Ben Klock - Subzero.mp4,0.0,14.77,0.3952,build
Ben Klock - Subzero.mp4,14.77,29.54,0.4054,build
Ben Klock - Subzero.mp4,29.54,44.31,0.4065,build
Ben Klock - Subzero.mp4,44.31,59.08,0.4101,build
Ben Klock - Subzero.mp4,59.08,73.85,0.4141,build
Ben Klock - Subzero.mp4,73.85,88.62,0.4719,peak
Ben Klock - Subzero.mp4,88.62,103.38,0.4402,mid
Ben Klock - Subzero.mp4,103.38,118.15,0.4393,mid
Ben Klock - Subzero.mp4,118.15,132.92,0.4682,peak
Ben Klock - Subzero.mp4,132.92,147.69,0.4488,peak
Ben Klock - Subzero.mp4,147.69,162.46,0.486,breakdown
Ben Klock - Subzero.mp4,162.46,177.23,0.4381,mid
Ben Klock - Subzero.mp4,177.23,192.0,0.4403,mid
Ben Klock - Subzero.mp4,192.0,206.77,0.4384,mid
Ben Klock - Subzero.mp4,206.77,221.54,0.456,peak
Ben Klock - Subzero.mp4,221.54,236.31,0.3705,intro
Ben Klock - Subzero.mp4,236.31,251.08,0.396,build
Ben Klock - Subzero.mp4,251.08,265.85,0.4507,peak
Ben Klock - Subzero.mp4,265.85,280.62,0.4617,peak
Ben Klock - Subzero.mp4,280.62,295.38,0.4835,breakdown
Ben Klock - Subzero.mp4,295.38,310.15,0.4518,peak
Ben Klock - Subzero.mp4,310.15,324.92,0.4568,peak
Ben Klock - Subzero.mp4,324.92,339.69,0.4321,mid
Ben Klock - Subzero.mp4,339.69,354.46,0.3819,build
Ben Klock - Subzero.mp4,354.46,369.23,0.2793,intro
Ben Klock - Subzero.mp4,369.23,383.99,0.159,intro
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,0.0,14.77,0.3729,build
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,14.77,29.54,0.4112,mid
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,29.54,44.31,0.4218,mid
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,44.31,59.08,0.4347,peak
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,59.08,73.85,0.4261,mid
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,73.85,88.62,0.3991,build
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,88.62,103.38,0.4212,mid
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,103.38,118.15,0.4454,peak
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,118.15,132.92,0.4507,peak
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,132.92,147.69,0.4338,peak
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,147.69,162.46,0.4046,build
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,162.46,177.23,0.3467,intro
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,177.23,192.0,0.3384,intro
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,192.0,206.77,0.4241,mid
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,206.77,221.54,0.3858,build
Ben Klock_Fadi Mohem_Flowdan - Our Sector (feat. Flowdan).mp4,221.54,231.9,0.3213,intro
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",0.0,14.77,0.2828,intro
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",14.77,29.54,0.375,mid
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",29.54,44.31,0.4135,peak
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",44.31,59.08,0.413,peak
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",59.08,73.85,0.4012,peak
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",73.85,88.62,0.3365,build
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",88.62,103.38,0.3701,mid
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",103.38,118.15,0.4088,peak
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",118.15,132.92,0.4157,peak
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",132.92,147.69,0.3595,mid
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",147.69,162.46,0.3206,build
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",162.46,177.23,0.4022,peak
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",177.23,192.0,0.4024,peak
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",192.0,206.77,0.3339,build
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",206.77,221.54,0.3495,build
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",221.54,236.31,0.2344,intro
"Marcel Dettmann,Ben Klock - Bad Boy.mp4",236.31,241.97,0.1023,intro
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",0.0,14.77,0.0617,intro
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",14.77,29.54,0.0705,intro
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",29.54,44.31,0.1142,intro
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",44.31,59.08,0.1485,intro
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",59.08,73.85,0.2237,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",73.85,88.62,0.2584,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",88.62,103.38,0.2617,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",103.38,118.15,0.2747,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",118.15,132.92,0.3177,mid
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",132.92,147.69,0.3462,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",147.69,162.46,0.3553,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",162.46,177.23,0.3512,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",177.23,192.0,0.3499,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",192.0,206.77,0.3396,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",206.77,221.54,0.3369,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",221.54,236.31,0.3534,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",236.31,251.08,0.3546,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",251.08,265.85,0.354,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",265.85,280.62,0.3449,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",280.62,295.38,0.3455,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",295.38,310.15,0.3468,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",310.15,324.92,0.2925,mid
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",324.92,339.69,0.2902,mid
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",339.69,354.46,0.278,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",354.46,369.23,0.2891,mid
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",369.23,384.0,0.2794,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",384.0,398.77,0.3364,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",398.77,413.54,0.3538,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",413.54,428.31,0.3468,peak
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",428.31,443.08,0.3264,mid
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",443.08,457.85,0.3087,mid
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",457.85,472.62,0.2979,mid
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",472.62,487.38,0.2692,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",487.38,502.15,0.2068,build
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",502.15,516.92,0.1037,intro
"Marcel Dettmann,Ben Klock - Phantom Studies.mp4",516.92,529.11,0.0852,intro
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",0.0,14.77,0.3033,intro
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",14.77,29.54,0.3094,intro
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",29.54,44.31,0.3226,build
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",44.31,59.08,0.3465,mid
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",59.08,73.85,0.3446,build
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",73.85,88.62,0.3695,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",88.62,103.38,0.3698,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",103.38,118.15,0.3311,build
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",118.15,132.92,0.3364,build
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",132.92,147.69,0.3743,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",147.69,162.46,0.3738,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",162.46,177.23,0.3705,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",177.23,192.0,0.375,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",192.0,206.77,0.3786,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",206.77,221.54,0.3741,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",221.54,236.31,0.2195,intro
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",236.31,251.08,0.364,mid
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",251.08,265.85,0.3713,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",265.85,280.62,0.3824,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",280.62,295.38,0.3897,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",295.38,310.15,0.396,breakdown
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",310.15,324.92,0.3934,peak
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",324.92,339.69,0.3214,build
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",339.69,354.46,0.3341,build
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",354.46,369.23,0.355,mid
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",369.23,384.0,0.3474,mid
"Martyn,Ben Klock,Spaceape - Is This Insanity?.mp4",384.0,396.87,0.3141,intro
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,0.0,14.77,0.2593,intro
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,14.77,29.54,0.2988,intro
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,29.54,44.31,0.4264,breakdown
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,44.31,59.08,0.3784,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,59.08,73.85,0.3735,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,73.85,88.62,0.3868,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,88.62,103.38,0.3973,peak
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,103.38,118.15,0.4204,breakdown
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,118.15,132.92,0.3833,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,132.92,147.69,0.4134,peak
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,147.69,162.46,0.4077,peak
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,162.46,177.23,0.3114,intro
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,177.23,192.0,0.3459,build
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,192.0,206.77,0.3928,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,206.77,221.54,0.4137,peak
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,221.54,236.31,0.3988,peak
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,236.31,251.08,0.3926,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,251.08,265.85,0.3857,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,265.85,280.62,0.377,mid
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,280.62,295.38,0.4196,breakdown
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,295.38,310.15,0.3951,peak
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,310.15,324.92,0.3095,intro
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,324.92,339.69,0.2198,intro
Steve Rachmad presents Ignacio - Virton Upgraded.mp4,339.69,341.8,0.1611,intro
